id,formula,mean_16,se_16,bad_16,count_16,mean_8,se_8,bad_8,count_8,mean_14,se_14,bad_14,count_14
35,"log(emissions)~poly(log(vmt), 2) + log(vehicles) + log(sourcehours) + log(starts) + year",87%,0.8%,14%,617,93.5%,0.1%,18%,6881,96.5%,0.3%,6%,1988
36,"log(emissions)~poly(log(vmt), 2) + log(vehicles) + poly(log(sourcehours), 2) + log(starts) + year",98.9%,0.1%,0%,617,93.8%,0.2%,16%,6881,98.2%,0.3%,1%,1988
37,"log(emissions)~poly(log(vmt), 2) + poly(log(vehicles), 2) + log(sourcehours) + log(starts) + year",98.2%,0.1%,0%,617,95.6%,0.1%,7%,6881,98.1%,0.3%,1%,1988
38,"log(emissions)~poly(log(vmt), 2) + poly(log(vehicles), 2) + poly(log(sourcehours), 2) + log(starts) + year",99.4%,0.1%,0%,617,95.9%,0.2%,6%,6881,98.2%,0.5%,1%,1988
39,"log(emissions)~poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year + year * vmt + year * sourcehours + vmt * sourcehours",99.7%,0.1%,0%,618,95.2%,0.2%,9%,6883,97.6%,0.9%,1%,2022
40,"log(emissions)~poly(log(vmt), 2) + log(vehicles) + poly(log(sourcehours), 2) + log(starts) + year + year * log(vmt) + year * log(sourcehours) + log(vmt) * log(sourcehours)",99.6%,0.1%,0%,617,96.5%,0.2%,5%,6881,98.4%,0.5%,1%,1988
41,"log(emissions)~year + poly(log(vmt), 2) + log(vehicles) + sqrt(sourcehours)",91.5%,0.7%,11%,620,95.1%,0.1%,12%,6912,94.2%,0.3%,16%,1996
42,"log(emissions)~year + poly(log(vmt), 2) + sqrt(vehicles) + sqrt(sourcehours)",91.1%,0.7%,14%,620,95%,0.1%,12%,6912,94.3%,0.3%,16%,2028
50,"log(emissions)~poly(year, 2) + poly(log(vmt), 3) + vehicles + sourcehours",98%,0.1%,7%,620,97.5%,0.1%,5%,6912,97.8%,0.3%,5%,2028
51,"log(emissions)~poly(year, 2) + poly(log(vmt), 3) + vehicles + sourcehours + starts",98.4%,0.1%,3%,618,97.3%,0.2%,5%,6883,98%,0.5%,1%,2022
